index,team.name,abbreviation,city,state,zip,type,lat,long,region
221,The Honolulu Nightmarchers,the-nightmarchers,Honolulu,HI,96813,Adult Community,21.3179,-157.852,WE
222,The Long Beach Funky Quaffles,funky-quaffles-1,Westminster ,CA,92683,Adult Community,33.7528,-117.991,WE
223,The Lost Boys,lost-boys,Lomita,CA,90717,Adult Community,33.7933,-118.317,WE
226,The Nightmarchers,nightmarchers,Honolulu,HI,96813,Adult Community,21.3179,-157.852,WE
233,Thundercats Quidditch,thundercats,Rocklin,CA,94513,Adult Community,37.9324,-121.689,WE
244,University of Arizona Quidditch,ua-quidditch,Tucson,AZ,85716,College,32.2468,-110.922,WE
247,University of California Los Angeles,ucla,Los Angeles,CA,90095-1612,College,34.0708,-118.444,WE
267,University of Southern California,usc-quidditch,Los Angeles,CA,90007,College,34.0294,-118.287,WE
272,Utah State Quidditch Club,utah-state,Logan,UT,84321,College,41.747,-111.823,WE
287,Wizards of Westwood,wizards-1,Los Angeles,CA,90024,College,34.0637,-118.441,WE
31,Carolina Heat Quidditch Club,carolina-heat,Columbia,SC,29201,Adult Community,34.0004,-81.0334,SE
32,Central Florida Quidditch,ucf,Orlando,FL,32817,College,28.5903,-81.2535,SE
34,Chanticleers,chants,Myrtle Beach,SC,29579,College,33.7438,-78.9361,SE
40,College of Charleston,charleston-4,Summerville,SC,29483,College,33.028,-80.1739,SE
41,College of Charleston Quidditch,cofc-quidditch,Charleston,SC,29403,College,32.7976,-79.9493,SE
42,College of Charleston Quidditch,cofc-quidditch-2,Charleston,SC,29424,College,32.7836,-79.937,SE
59,East Tennessee State University Quidditch,etsu-quidditch,Johnson City ,TN,37614,College,36.3027,-82.3681,SE
60,Eastern Florida State College Titans,titans,Titusville,FL,32796,College,28.6271,-80.8429,SE
67,Emory University Quidditch,dooley-s-death-dancers,Atlanta,GA,30322,College,33.7931,-84.3244,SE
69,Florida Atlantic University Owls,fau-owls,Boca Raton,FL,33431,College,26.3799,-80.0975,SE
70,Florida Gulf Coast Quidditch,fgcu-quidditch,Fort Myers,FL,33965,College,26.4737,-81.9397,SE
71,Florida International University,fiu-panthers,Miami,FL,33174,College,25.7628,-80.3611,SE
72,Florida State University,fsu-quidditch,Tallahassee,FL,32306,College,30.4422,-84.2956,SE
73,Florida's Finest,finest,NA,FL,NA,Adult Community,NA,NA,SE
74,Flying Panthers Quidditch Club,flying-panthers,Miami,FL,33173,Adult Community,25.6992,-80.3618,SE
77,Gainesville Siege,siege,Gainesville,FL,32607,Adult Community,29.6456,-82.4033,SE
94,inTENNsity,intennsity,Cookeville ,TN,38501,Adult Community,36.1743,-85.4953,SE
131,MTSU Threstrals,mtsu,Murfreesboro,TN,37132,College,35.8475,-86.3625,SE
132,Nearly Headless Knights,ucf-quidditch-1,Orlando,FL,32817,College,28.5903,-81.2535,SE
133,Nearly Headless Knights Quidditch,ucf-quidditch,Orlando,FL,32816,College,28.6049,-81.205,SE
139,North Broward Preparatory School Snidgets,nbps-snidgets-1,Coconut Creek,FL,33073,High School,26.2997,-80.181,SE
162,Quidditch Club at the University of Tennessee Knoxville,tennessee,Knoxville,TN,37916,College,35.9556,-83.9336,SE
169,RCQC,rcqc-2,Winter Park,FL,32789,College,28.5978,-81.3534,SE
172,Richland Rangers,rangers,Richland,MS,39218,Adult Community,32.2152,-90.1562,SE
175,Ringling College of Art and Design,rcad,Sarasota,FL,34234,College,27.3654,-82.5352,SE
179,Rollins College,rollins,Orlando,FL,32812,College,28.4998,-81.3288,SE
209,Tennessee Tech Quidditch,tennessee-tech-quidditch,Cookeville,TN,38501,College,36.1743,-85.4953,SE
210,Tennessee Time Turners Quidditch,time-turners-1,Knoxville,TN,37916,College,35.9556,-83.9336,SE
220,The Forgotten Ones Quidditch,forgotten-ones-quidditch,Cookeville,TN,38501,Adult Community,36.1743,-85.4953,SE
225,The Muggle Snugglers,muggle-snugglers,lavergne,TN,37086,Adult Community,36.0127,-86.56,SE
229,The Southern Storm,storm,rock hill ,SC,29733,Adult Community,34.9415,-81.0309,SE
234,Time Turners Quidditch,time-turners-2,Knoxville,TN,37916,College,35.9556,-83.9336,SE
